index,Package,Vulnerability,OS,Package_Version
370,perl,CVE-2017-12837,alpine:v3.7,5.26.1-r0
371,perl,CVE-2018-18314,alpine:v3.7,5.26.3-r0
372,perl,CVE-2017-12883,alpine:v3.7,5.26.1-r0
373,perl,CVE-2018-6913,alpine:v3.8,5.26.2-r0
374,perl,CVE-2018-6797,alpine:v3.8,5.26.2-r0
375,perl,CVE-2017-12883,alpine:v3.8,5.26.1-r0
376,perl,CVE-2018-18313,alpine:v3.8,5.26.3-r0
377,perl,CVE-2018-18312,alpine:v3.8,5.26.3-r0
378,perl,CVE-2018-18311,alpine:v3.8,5.26.3-r0
379,perl,CVE-2017-12837,alpine:v3.8,5.26.1-r0
380,perl,CVE-2018-12015,alpine:v3.8,5.26.2-r1
381,perl,CVE-2018-6798,alpine:v3.8,5.26.2-r0
382,perl,CVE-2018-18314,alpine:v3.8,5.26.3-r0
383,perl,CVE-2018-12015,alpine:v3.6,5.24.4-r1
384,perl,CVE-2016-9840,alpine:v3.6,5.24.3-r1
385,perl,CVE-2018-6798,alpine:v3.6,5.24.4-r0
386,perl,CVE-2018-18313,alpine:v3.6,5.24.4-r2
387,perl,CVE-2016-9841,alpine:v3.6,5.24.3-r1
388,perl,CVE-2017-12837,alpine:v3.6,5.24.3-r0
389,perl,CVE-2018-18311,alpine:v3.6,5.24.4-r2
390,perl,CVE-2018-6797,alpine:v3.6,5.24.4-r0
391,perl,CVE-2018-18312,alpine:v3.6,5.24.4-r2
392,perl,CVE-2016-9843,alpine:v3.6,5.24.3-r1
393,perl,CVE-2017-12883,alpine:v3.6,5.24.3-r0
394,perl,CVE-2016-9842,alpine:v3.6,5.24.3-r1
395,perl,CVE-2018-18314,alpine:v3.6,5.24.4-r2
396,perl,CVE-2018-6913,alpine:v3.6,5.24.4-r0
397,perl,CVE-2018-6798,alpine:v3.10,5.26.2-r0
398,perl,CVE-2018-18313,alpine:v3.10,5.26.3-r0
399,perl,CVE-2018-6913,alpine:v3.10,5.26.2-r0
400,perl,CVE-2018-18312,alpine:v3.10,5.26.3-r0
401,perl,CVE-2018-18314,alpine:v3.10,5.26.3-r0
402,perl,CVE-2017-12837,alpine:v3.10,5.26.1-r0
403,perl,CVE-2018-18311,alpine:v3.10,5.26.3-r0
404,perl,CVE-2018-12015,alpine:v3.10,5.26.2-r1
405,perl,CVE-2018-6797,alpine:v3.10,5.26.2-r0
406,perl,CVE-2017-12883,alpine:v3.10,5.26.1-r0
407,perl,CVE-2017-12883,alpine:v3.3,5.22.3-r0
408,perl,CVE-2017-12837,alpine:v3.3,5.22.3-r0
409,perl,CVE-2016-1238,alpine:v3.3,5.22.3-r0
410,perl,CVE-2017-12837,alpine:v3.4,5.22.3-r0
411,perl,CVE-2016-1238,alpine:v3.4,5.22.3-r0
412,perl,CVE-2017-12883,alpine:v3.4,5.22.3-r0
413,perl,CVE-2005-3962,debian:10,5.8.7-9
414,perl,CVE-2010-1447,debian:10,5.12.3-1
415,perl,CVE-2018-6798,debian:10,5.26.1-6
416,perl,CVE-2018-18313,debian:10,5.28.0-3
417,perl,CVE-2010-4411,debian:10,5.10.1-17
418,perl,CVE-2008-2827,debian:10,5.10.0-11
419,perl,CVE-2018-18311,debian:10,5.28.1-1
420,perl,CVE-2011-4116,debian:10,#MAXV#
421,perl,CVE-2018-6913,debian:10,5.26.1-6
