,Unnamed: 0,index,Package,Vulnerability,OS,Package_Version,OS_base_name,Date_Reported,Date_Fixed,Days_For_Fix
147,443,443,perl,CVE-2009-3626,debian:10,5.10.1-6,debian,2009-10-25,,
148,444,444,perl,CVE-2010-4410,debian:10,5.10.1-17,debian,2010-12-06,,
149,446,446,perl,CVE-2011-1487,debian:10,5.10.1-20,debian,2011-03-30,,
150,447,447,perl,CVE-2013-1437,debian:10,5.18.1-2,debian,,,
151,448,448,perl,CVE-2016-2381,debian:10,5.22.1-8,debian,2016-03-01,,
152,449,449,perl,CVE-2007-5116,debian:10,5.8.8-12,debian,2007-11-05,,
153,450,450,perl,CVE-2008-5302,debian:10,5.10.0-18,debian,2008-06-20,,
154,451,451,perl,CVE-2010-4777,debian:10,5.20.1-1,debian,2011-01-25,,
155,452,452,perl,CVE-2003-0618,debian:10,5.8.3-3,debian,2004-02-01,,
156,453,453,perl,CVE-2013-7422,debian:10,5.20.0-1,debian,2015-09-18,,
157,454,454,perl,CVE-2005-0155,debian:10,5.8.4-6,debian,2005-02-02,,
158,455,455,perl,CVE-2009-1391,debian:10,5.10.0-23,debian,2009-06-11,,
159,457,457,perl,CVE-2003-0900,debian:10,5.8.2,debian,2003-10-31,,
160,458,458,perl,CVE-2017-6512,debian:10,5.24.1-3,debian,2017-06-05,,
161,459,459,perl,CVE-2012-6329,debian:10,5.14.2-16,debian,2012-12-05,,
162,460,460,perl,CVE-2011-3597,debian:10,5.12.4-6,debian,2011-10-02,,
163,461,461,perl,CVE-2011-2939,debian:10,5.12.4-4,debian,2011-09-29,,
164,462,462,perl,CVE-2016-6185,debian:10,5.22.2-2,debian,2016-07-08,,
165,463,463,perl,CVE-2008-5303,debian:10,5.10.0-18,debian,2008-06-20,,
166,466,466,perl,CVE-2011-0761,debian:10,5.12.0-1,debian,2011-03-05,,
167,686,686,perl,ELSA-2007-0966,oracle:5,4:5.8.8-10.0.1.el5_0.2,oracle,,,
168,687,687,perl,ELSA-2011-1797,oracle:5,4:5.8.8-32.0.1.el5_7.6,oracle,,,
169,688,688,perl,ELSA-2008-0522,oracle:5,4:5.8.8-10.0.1.el5_2.3,oracle,,,
170,689,689,perl,ELSA-2010-0458,oracle:5,4:5.8.8-32.el5_5.1,oracle,,,
171,690,690,perl,ELSA-2013-0685,oracle:5,4:5.8.8-40.el5_9,oracle,,,
172,691,691,perl,ELSA-2011-1424,oracle:6,4:5.10.1-119.el6_1.1,oracle,,,
173,692,692,perl,ELSA-2011-0558,oracle:6,4:5.10.1-119.el6,oracle,,,
174,694,694,perl,ELSA-2019-0109,oracle:7,4:5.16.3-294.el7_6,oracle,,,
175,695,695,perl,RHSA-2013:0685,centos:5,4:5.8.8-40.el5_9,centos,2012-12-05,,
176,696,696,perl,RHSA-2011:1797,centos:5,4:5.8.8-32.el5_7.6,centos,2010-12-06,,
177,697,697,perl,RHSA-2008:0522,centos:5,4:5.8.8-10.el5_2.3,centos,2008-04-24,,
178,698,698,perl,RHSA-2007:0966,centos:5,4:5.8.8-10.el5_0.2,centos,2007-11-05,,
179,699,699,perl,RHSA-2010:0458,centos:5,4:5.8.8-32.el5_5.1,centos,2005-12-23,,
180,700,700,perl,RHSA-2011:0558,centos:6,4:5.10.1-119.el6,centos,2010-12-06,,
181,701,701,perl,RHSA-2011:1424,centos:6,4:5.10.1-119.el6_1.1,centos,2011-09-29,,
182,703,703,perl,RHSA-2019:0109,centos:7,4:5.16.3-294.el7_6,centos,,,
183,704,704,coreutils,CVE-2017-18018,alpine:v3.10,8.30-r0,alpine,2017-12-20,,
184,708,708,coreutils,CVE-2003-0853,debian:unstable,5.2.1-1,debian,2003-10-12,,
185,709,709,coreutils,CVE-2014-9471,debian:unstable,8.23-1,debian,2014-11-25,2014-09-02,84.0
186,710,710,coreutils,CVE-2003-0854,debian:unstable,5.2.1-1,debian,2003-10-12,,
187,711,711,coreutils,CVE-2016-2781,debian:unstable,#MAXV#,debian,2016-02-28,,
188,712,712,coreutils,CVE-2017-2616,debian:unstable,8.20-1,debian,2017-03-21,2012-11-18,1584.0
189,713,713,coreutils,CVE-2008-1946,debian:unstable,5.93-1,debian,2008-07-24,,
190,714,714,coreutils,CVE-2007-4998,debian:unstable,4.1.2,debian,2007-10-29,,
191,715,715,coreutils,CVE-2005-1039,debian:unstable,6.10-1,debian,2005-04-06,,
192,717,717,coreutils,CVE-2015-1865,debian:unstable,8.13-1,debian,2015-04-13,2011-09-22,1299.0
193,754,754,coreutils,ELSA-2013-1652,oracle:6,0:8.4-31.0.1.el6,oracle,,,
194,755,755,coreutils,ELSA-2017-0654,oracle:6,0:8.4-46.0.1.el6,oracle,,,
195,756,756,coreutils,RHSA-2013:1652,centos:6,0:8.4-31.el6,centos,2013-01-21,,
196,757,757,coreutils,RHSA-2017:0654,centos:6,0:8.4-46.el6,centos,,,
197,758,758,nodejs,CVE-2018-1000168,alpine:v3.10,8.11.3-r0,alpine,2018-04-13,,
198,759,759,nodejs,CVE-2018-12115,alpine:v3.10,8.11.4-r0,alpine,2018-08-16,,
199,760,760,nodejs,CVE-2017-15896,alpine:v3.10,8.9.3-r0,alpine,2017-12-08,,
200,761,761,nodejs,CVE-2018-7160,alpine:v3.10,8.11.0-r0,alpine,2018-03-21,,
201,762,762,nodejs,CVE-2019-5737,alpine:v3.10,10.15.3-r0,alpine,2019-02-28,,
202,763,763,nodejs,CVE-2018-7161,alpine:v3.10,8.11.3-r0,alpine,2018-06-12,,
203,764,764,nodejs,CVE-2018-0735,alpine:v3.10,10.14.0-r0,alpine,2018-10-29,,
204,765,765,nodejs,CVE-2018-12122,alpine:v3.10,10.14.0-r0,alpine,2018-11-28,,
205,766,766,nodejs,CVE-2018-7158,alpine:v3.10,8.11.0-r0,alpine,2018-03-21,,
206,767,767,nodejs,CVE-2018-7167,alpine:v3.10,8.11.3-r0,alpine,2018-06-12,,
207,768,768,nodejs,CVE-2017-15897,alpine:v3.10,8.9.3-r0,alpine,2017-12-08,,
208,769,769,nodejs,CVE-2018-12123,alpine:v3.10,10.14.0-r0,alpine,2018-11-28,,
209,770,770,nodejs,CVE-2017-1000381,alpine:v3.10,6.11.1-r0,alpine,2017-06-20,,
210,771,771,nodejs,CVE-2018-0734,alpine:v3.10,10.14.0-r0,alpine,2018-10-30,,
211,772,772,nodejs,CVE-2018-12121,alpine:v3.10,10.14.0-r0,alpine,2018-11-28,,
212,773,773,nodejs,CVE-2017-14919,alpine:v3.10,6.11.5-r0,alpine,2017-10-24,,
213,774,774,nodejs,CVE-2018-7159,alpine:v3.10,8.11.0-r0,alpine,2018-03-21,,
214,803,803,nodejs,CVE-2018-12116,alpine:v3.8,8.14.0-r0,alpine,2018-11-28,,
215,810,810,nodejs,CVE-2016-5129,alpine:v3.6,6.10.0-r0,alpine,2016-07-20,,
216,812,812,nodejs,CVE-2016-5180,alpine:v3.6,6.8.0-r0,alpine,2016-09-30,,
217,817,817,nodejs,CVE-2019-9514,debian:unstable,#MAXV#,debian,2019-08-13,,
218,819,819,nodejs,CVE-2019-9511,debian:unstable,#MAXV#,debian,2019-08-13,,
219,820,820,nodejs,CVE-2014-5256,debian:unstable,0.10.38~dfsg-1,debian,2014-07-31,,
220,822,822,nodejs,CVE-2016-2216,debian:unstable,4.3.0~dfsg-1,debian,2016-02-09,,
221,823,823,nodejs,CVE-2015-7384,debian:unstable,4.1.1~dfsg-3,debian,2015-10-01,,
222,825,825,nodejs,CVE-2016-2086,debian:unstable,4.3.0~dfsg-1,debian,2016-02-09,,
